[1, -599][DEBUG] 出怪种子: 0x2F4A177E
[1, -599][DEBUG] 阳光: 8000, 白, 0f, SL次数: 0 [13:53]
总: [慢 20 变 23 白 39 快 18] 预计 16:15 完成 10k flags (共 141 min)
[1, -599][DEBUG] 出怪种子: 0xA1E0440E
[1, -599][DEBUG] 阳光: 9890, 慢, 200f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 快, 202f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 变, 204f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 快, 206f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 变, 208f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 白, 210f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 慢, 212f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 白, 214f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 快, 216f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 白, 218f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 慢, 220f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9915, 白, 222f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 白, 224f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 变, 226f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 快, 228f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 慢, 230f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9915, 快, 232f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 慢, 234f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 变, 236f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9915, 变, 238f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 慢, 240f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 白, 242f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 白, 244f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 慢, 246f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 248f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 慢, 250f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 变, 252f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9915, 变, 254f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9915, 快, 256f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 白, 258f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 白, 260f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 262f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 变, 264f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 变, 266f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 268f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 变, 270f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 快, 272f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 274f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 快, 276f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 变, 278f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9915, 快, 280f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 快, 282f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 快, 284f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 快, 286f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 慢, 288f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 白, 290f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 变, 292f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9840, 变, 294f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9815, 快, 296f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 298f, SL次数: 0 [13:57]
[1, -599][DEBUG] N: [3-9 40 4-9 0] [慢 16 变 23 白 1 快 0]
加压a: [慢 0 变 1 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
总: [慢 29 变 36 白 54 快 31] 预计 16:15 完成 10k flags (共 142 min)
[1, -599][DEBUG] 出怪种子: 0xF15FB0F2
[1, -599][DEBUG] 阳光: 9890, 快, 300f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 快, 302f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9865, 快, 304f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 白, 306f, SL次数: 0 [13:57]
[1, -599][DEBUG] 阳光: 9890, 快, 308f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 白, 310f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 312f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 快, 314f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 白, 316f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 变, 318f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 变, 320f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 白, 322f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 慢, 324f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 慢, 326f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 328f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 白, 330f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 变, 332f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 慢, 334f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 白, 336f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 快, 338f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 白, 340f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 快, 342f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 快, 344f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 快, 346f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 白, 348f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 变, 350f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 快, 352f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 慢, 354f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 356f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 白, 358f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 360f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 白, 362f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 364f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 快, 366f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 变, 368f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 白, 370f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 白, 372f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9865, 慢, 374f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9840, 慢, 376f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9915, 慢, 378f, SL次数: 0 [13:58]
[1, -599][DEBUG] 阳光: 9890, 白, 380f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 变, 382f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 白, 384f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 变, 386f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 白, 388f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 白, 390f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 变, 392f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 变, 394f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 白, 396f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 快, 398f, SL次数: 0 [13:59]
[1, -599][DEBUG] N: [3-9 52 4-9 0] [慢 19 变 32 白 1 快 0]
加压a: [慢 1 变 2 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
总: [慢 36 变 45 白 71 快 48] 预计 16:15 完成 10k flags (共 141 min)
[1, -599][DEBUG] 出怪种子: 0xDDDC0A96
[1, -599][DEBUG] 阳光: 9890, 快, 400f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 快, 402f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 白, 404f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 白, 406f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 变, 408f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 白, 410f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 白, 412f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 变, 414f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9815, 白, 416f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 变, 418f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 快, 420f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 白, 422f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 白, 424f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 慢, 426f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 快, 428f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 变, 430f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9915, 慢, 432f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9840, 白, 434f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 快, 436f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 慢, 438f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 快, 440f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9865, 变, 442f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9915, 快, 444f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9890, 变, 446f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9815, 慢, 448f, SL次数: 0 [13:59]
[1, -599][DEBUG] 阳光: 9915, 慢, 450f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 452f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 白, 454f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 快, 456f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 458f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 快, 460f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 快, 462f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 464f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 快, 466f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 快, 468f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 慢, 470f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 白, 472f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 慢, 474f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 快, 476f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 慢, 478f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 慢, 480f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 变, 482f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 变, 484f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 变, 486f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9915, 白, 488f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 490f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 492f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 白, 494f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 快, 496f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9815, 快, 498f, SL次数: 0 [14:00]
[1, -599][DEBUG] N: [3-9 63 4-9 0] [慢 25 变 36 白 1 快 1]
加压a: [慢 1 变 2 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
总: [慢 45 变 54 白 88 快 63] 预计 16:15 完成 10k flags (共 141 min)
[1, -599][DEBUG] 出怪种子: 0xDDEAA172
[1, -599][DEBUG] 阳光: 9890, 变, 500f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9915, 变, 502f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 慢, 504f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9915, 变, 506f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 变, 508f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9840, 慢, 510f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9865, 变, 512f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9815, 白, 514f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 变, 516f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9890, 变, 518f, SL次数: 0 [14:00]
[1, -599][DEBUG] 阳光: 9815, 白, 520f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 变, 522f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 变, 524f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 慢, 526f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9915, 白, 528f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 慢, 530f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 白, 532f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 变, 534f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9815, 白, 536f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 变, 538f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 变, 540f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9815, 白, 542f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 慢, 544f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 变, 546f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 变, 548f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 快, 550f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 快, 552f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 慢, 554f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 白, 556f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 快, 558f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 慢, 560f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 白, 562f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 变, 564f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 快, 566f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 快, 568f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 白, 570f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 快, 572f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 快, 574f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 变, 576f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 快, 578f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 白, 580f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9865, 变, 582f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9915, 慢, 584f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9840, 快, 586f, SL次数: 0 [14:01]
[1, -599][DEBUG] 阳光: 9890, 白, 588f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9890, 慢, 590f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9865, 快, 592f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9890, 慢, 594f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9865, 变, 596f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9815, 变, 598f, SL次数: 0 [14:02]
[1, -599][DEBUG] N: [3-9 85 4-9 0] [慢 33 变 50 白 1 快 1]
加压a: [慢 1 变 2 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
总: [慢 55 变 73 白 99 快 73] 预计 16:16 完成 10k flags (共 142 min)
[1, -599][DEBUG] 出怪种子: 0x5E59738B
[1, -599][DEBUG] 阳光: 9915, 变, 600f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9865, 白, 602f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9890, 变, 604f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9890, 变, 606f, SL次数: 0 [14:02]
[1, -599][DEBUG] 阳光: 9890, 慢, 608f, SL次数: 0 [14:02]
